,driverId,points_totaux_1073,classement_final,driverRef,points_reels,classement_final_reel,diff_points,diff_classement
1,830.0,232.0,5.0,max_verstappen,395.5,1.0,163.5,-4.0
0,1.0,367.0,2.0,hamilton,387.5,2.0,20.5,0.0
2,822.0,129.0,7.0,bottas,226.0,3.0,97.0,-4.0
4,815.0,148.0,6.0,perez,190.0,4.0,42.0,-2.0
7,832.0,28.0,10.0,sainz,164.5,5.0,136.5,-5.0
3,846.0,56.0,8.0,norris,160.0,6.0,104.0,-2.0
5,844.0,21.0,11.0,leclerc,159.0,7.0,138.0,-4.0
6,817.0,43.0,9.0,ricciardo,115.0,8.0,72.0,-1.0
16,842.0,0.0,19.0,gasly,110.0,9.0,110.0,-10.0
18,4.0,242.0,4.0,alonso,81.0,10.0,-161.0,6.0
12,839.0,0.0,16.0,ocon,74.0,11.0,74.0,-5.0
14,20.0,253.0,3.0,vettel,43.0,12.0,-210.0,9.0
9,840.0,0.0,14.0,stroll,34.0,13.0,34.0,-1.0
8,852.0,0.0,13.0,tsunoda,32.0,14.0,32.0,1.0
13,847.0,0.0,17.0,russell,16.0,15.0,16.0,-2.0
10,8.0,443.0,1.0,raikkonen,10.0,16.0,-433.0,15.0
17,849.0,8.0,12.0,latifi,7.0,17.0,-1.0,5.0
11,841.0,0.0,15.0,giovinazzi,3.0,18.0,3.0,3.0
15,854.0,0.0,18.0,mick_schumacher,0.0,19.0,0.0,1.0
20,9.0,0.0,21.0,kubica,0.0,20.0,0.0,-1.0
19,853.0,0.0,20.0,mazepin,0.0,21.0,0.0,1.0
