round;Winner;Predicted winner;Cote;Model
1;Hamilton;Pérez;2,1;Logistic regression
2;Verstappen;Hamilton;2,8;Logistic regression
3;Hamilton;Hamilton;2,1;Logistic regression
4;Hamilton;Hamilton;2,1;Logistic regression
5;Verstappen;Verstappen;2,9;Logistic regression
6;Pérez;Hamilton;7;Logistic regression
7;Verstappen;Verstappen;2,1;Logistic regression
8;Verstappen;Hamilton;1,9;Logistic regression
9;Verstappen;Verstappen;1,8;Logistic regression
10;Hamilton;Verstappen;2,8;Logistic regression
11;Ocon;Hamilton;17;Logistic regression
12;Verstappen;Verstappen;1,8;Logistic regression
13;Verstappen;Verstappen;1,8;Logistic regression
14;Ricciardo;Verstappen;25;Logistic regression
15;Hamilton;Hamilton;2,8;Logistic regression
16;Bottas;Verstappen;3,3;Logistic regression
18;Verstappen;Verstappen;1,8;Logistic regression
19;Hamilton;Verstappen;2,2;Logistic regression
21;Hamilton;Hamilton;2,4;Logistic regression
22;Verstappen;Verstappen;1,6;Logistic regression
1;Hamilton;Hamilton;2,1;Random forest
2;Verstappen;Hamilton;2,8;Random forest
3;Hamilton;Hamilton;2,1;Random forest
4;Hamilton;Hamilton;2,1;Random forest
5;Verstappen;Leclerc;2,9;Random forest
6;Pérez;Verstappen;7;Random forest
7;Verstappen;Verstappen;2,1;Random forest
8;Verstappen;Verstappen;1,9;Random forest
9;Verstappen;Verstappen;1,8;Random forest
10;Hamilton;Verstappen;2,8;Random forest
11;Ocon;Hamilton;17;Random forest
12;Verstappen;Hamilton;1,8;Random forest
13;Verstappen;Verstappen;1,8;Random forest
14;Ricciardo;Verstappen;25;Random forest
15;Hamilton;Norris;2,8;Random forest
16;Bottas;Hamilton;3,3;Random forest
18;Verstappen;Hamilton;1,8;Random forest
19;Hamilton;Verstappen;2,2;Random forest
21;Hamilton;Hamilton;2,4;Random forest
22;Verstappen;Verstappen;1,6;Random forest
1;Hamilton;Verstappen;2,1;Decision tree
2;Verstappen;Hamilton;2,8;Decision tree
3;Hamilton;Hamilton;2,1;Decision tree
4;Hamilton;Hamilton;2,1;Decision tree
5;Verstappen;Verstappen;2,9;Decision tree
6;Pérez;Hamilton;7;Decision tree
7;Verstappen;Verstappen;2,1;Decision tree
8;Verstappen;Verstappen;1,9;Decision tree
9;Verstappen;Verstappen;1,8;Decision tree
10;Hamilton;Verstappen;2,8;Decision tree
11;Ocon;Hamilton;17;Decision tree
12;Verstappen;Verstappen;1,8;Decision tree
13;Verstappen;Verstappen;1,8;Decision tree
14;Ricciardo;Verstappen;25;Decision tree
15;Hamilton;Norris;2,8;Decision tree
16;Bottas;Verstappen;3,3;Decision tree
18;Verstappen;Bottas;1,8;Decision tree
19;Hamilton;Bottas;2,2;Decision tree
21;Hamilton;Hamilton;2,4;Decision tree
22;Verstappen;Verstappen;1,6;Decision tree
